timestamp,source_ip,source_port,destination_ip,dst_port,protocol,Family,Service,duration,source_bytes,destination_bytes,conn_state,missed_bytes,source_packets,src_ip_bytes,destination_packets,dst_ip_bytes,Temperature,Humidity,Status,Label,Type
749443525,192.168.18.138,58770,16.170.215.67,80,1,2,1,691,260,51,S0,0,1,32,1,197,30.8,55,OFF,0,normal
749443690,192.168.18.138,58770,16.170.215.67,80,1,2,1,609,260,51,S0,0,1,32,1,197,30.8,55,ON,0,normal
749444146,192.168.18.138,58770,16.170.215.67,80,1,2,1,701,260,51,S0,51,1,32,1,248,29.9,54.3,ON,0,normal
749444177,192.168.18.138,58770,16.170.215.67,80,1,2,1,607,260,51,S0,51,1,32,1,248,29.5,54.1,ON,0,normal
749444208,192.168.18.138,58770,16.170.215.67,80,1,2,1,608,260,51,S0,0,1,32,1,197,29.2,54.3,ON,0,normal
749444238,192.168.18.138,58770,16.170.215.67,80,1,2,1,608,260,51,S0,0,1,32,1,197,28.9,54.2,ON,0,normal
749444269,192.168.18.138,58770,16.170.215.67,80,1,2,1,603,260,51,S0,51,1,32,1,248,28.8,53.8,ON,0,normal
749444299,192.168.18.138,58770,16.170.215.67,80,1,2,1,700,260,51,S0,51,1,32,1,248,28.8,53.9,ON,0,normal
749444330,192.168.18.138,58770,16.170.215.67,80,1,2,1,613,260,51,S0,0,1,32,1,197,28.7,53.8,ON,0,normal
749444361,192.168.18.138,58770,16.170.215.67,80,1,2,1,652,260,51,S0,0,1,32,1,197,28.7,52.9,ON,0,normal
749444391,192.168.18.138,58770,16.170.215.67,80,1,2,1,647,260,51,S0,51,1,32,1,248,28.6,52.3,ON,0,normal
749444422,192.168.18.138,58770,16.170.215.67,80,1,2,1,606,260,51,S0,0,1,32,1,197,28.5,51.7,ON,0,normal
749444453,192.168.18.138,58770,16.170.215.67,80,1,2,1,720,260,51,S0,0,1,32,1,197,28.4,51.9,ON,0,normal
749444484,192.168.18.138,58770,16.170.215.67,80,1,2,1,796,260,51,S0,0,1,32,1,197,28.3,51.3,ON,0,normal
749444514,192.168.18.138,58770,16.170.215.67,80,1,2,1,721,260,51,S0,0,1,32,1,197,28.2,51.9,ON,0,normal
749444545,192.168.18.138,58770,16.170.215.67,80,1,2,1,689,260,51,S0,0,1,32,1,197,28,50.2,ON,0,normal
749444576,192.168.18.138,58770,16.170.215.67,80,1,2,1,611,260,51,S0,0,1,32,1,197,27.7,50.5,ON,0,normal
749444606,192.168.18.138,58770,16.170.215.67,80,1,2,1,701,260,51,S0,0,1,32,1,197,27.5,50.7,ON,0,normal
749444637,192.168.18.138,58770,16.170.215.67,80,1,2,1,608,260,51,S0,0,1,32,1,197,27.4,50.6,ON,0,normal
749444668,192.168.18.138,58770,16.170.215.67,80,1,2,1,704,260,51,S0,51,1,32,1,248,27.1,50.6,ON,0,normal
749444698,192.168.18.138,58770,16.170.215.67,80,1,2,1,604,260,51,S0,0,1,32,1,197,26.9,52.4,ON,0,normal
749444729,192.168.18.138,58770,16.170.215.67,80,1,2,1,608,260,51,S0,0,1,32,1,197,26.8,52.2,ON,0,normal
749444760,192.168.18.138,58770,16.170.215.67,80,1,2,1,637,260,51,S0,0,1,32,1,197,26.9,52,ON,0,normal
749444790,192.168.18.138,58770,16.170.215.67,80,1,2,1,672,260,51,S0,0,1,32,1,197,27,51.6,ON,0,normal
749444821,192.168.18.138,58770,16.170.215.67,80,1,2,1,617,260,51,S0,0,1,32,1,197,27.1,51.2,ON,0,normal
749444852,192.168.18.138,58770,16.170.215.67,80,1,2,1,692,260,51,S0,0,1,32,1,197,27.1,50.8,ON,0,normal
749444882,192.168.18.138,58770,16.170.215.67,80,1,2,1,617,260,51,S0,0,1,32,1,197,27.1,49.8,ON,0,normal
749444913,192.168.18.138,58770,16.170.215.67,80,1,2,1,697,260,51,S0,51,1,32,1,248,27,50,ON,0,normal
749444944,192.168.18.138,58770,16.170.215.67,80,1,2,1,609,260,51,S0,0,1,32,1,197,27.1,50,ON,0,normal
749444974,192.168.18.138,58770,16.170.215.67,80,1,2,1,608,260,51,S0,0,1,32,1,197,27.1,49.5,ON,0,normal
749445005,192.168.18.138,58770,16.170.215.67,80,1,2,1,610,260,51,S0,0,1,32,1,197,27.1,49,ON,0,normal
749445036,192.168.18.138,58770,16.170.215.67,80,1,2,1,804,260,51,S0,0,1,32,1,197,27.1,48.9,ON,0,normal
749445066,192.168.18.138,58770,16.170.215.67,80,1,2,1,616,260,51,S0,0,1,32,1,197,27.2,47.5,ON,0,normal
749445097,192.168.18.138,58770,16.170.215.67,80,1,2,1,687,260,51,S0,51,1,32,1,248,27.1,47.9,ON,0,normal
749445128,192.168.18.138,58770,16.170.215.67,80,1,2,1,611,260,51,S0,0,1,32,1,197,27,47.7,ON,0,normal
749445158,192.168.18.138,58770,16.170.215.67,80,1,2,1,698,260,51,S0,51,1,32,1,248,26.9,47.6,ON,0,normal
749445189,192.168.18.138,58770,16.170.215.67,80,1,2,1,606,260,51,S0,0,1,32,1,197,26.8,47.8,ON,0,normal
749445220,192.168.18.138,58770,16.170.215.67,80,1,2,1,612,260,51,S0,51,1,32,1,248,26.8,47.5,ON,0,normal
749445250,192.168.18.138,58770,16.170.215.67,80,1,2,1,698,260,51,S0,51,1,32,1,248,26.8,47,ON,0,normal
749445281,192.168.18.138,58770,16.170.215.67,80,1,2,1,612,260,51,S0,0,1,32,1,197,26.7,46.7,ON,0,normal
749445312,192.168.18.138,58770,16.170.215.67,80,1,2,1,699,260,51,S0,51,1,32,1,248,26.7,46.6,ON,0,normal
749445342,192.168.18.138,58770,16.170.215.67,80,1,2,1,614,260,51,S0,51,1,32,1,248,26.8,46.5,ON,0,normal
749445442,192.168.18.138,58770,16.170.215.67,80,1,2,1,669,260,51,S0,51,1,32,1,248,26.7,45.8,ON,0,normal
749445473,192.168.18.138,58770,16.170.215.67,80,1,2,1,673,260,51,S0,0,1,32,1,197,26.5,45.2,ON,0,normal
749445503,192.168.18.138,58770,16.170.215.67,80,1,2,1,607,260,51,S0,0,1,32,1,197,26.4,45.4,ON,0,normal
749445534,192.168.18.138,58770,16.170.215.67,80,1,2,1,607,260,51,S0,0,1,32,1,197,26.3,45.1,ON,0,normal
749445565,192.168.18.138,58770,16.170.215.67,80,1,2,1,616,260,51,S0,0,1,32,1,197,26.2,45.6,ON,0,normal
749445595,192.168.18.138,58770,16.170.215.67,80,1,2,1,653,260,51,S0,51,1,32,1,248,26.2,45.5,ON,0,normal
749445626,192.168.18.138,58770,16.170.215.67,80,1,2,1,637,260,51,S0,51,1,32,1,248,26.1,45.5,ON,0,normal
749445656,192.168.18.138,58770,16.170.215.67,80,1,2,1,639,260,51,S0,0,1,32,1,197,26,45.2,ON,0,normal
749445687,192.168.18.138,58770,16.170.215.67,80,1,2,1,672,260,51,S0,51,1,32,1,248,25.9,45.1,ON,0,normal
749445718,192.168.18.138,58770,16.170.215.67,80,1,2,1,618,260,52,S0,0,1,32,1,197,25.9,45.3,ON,0,normal
749445749,192.168.18.138,58770,16.170.215.67,80,1,2,1,695,260,52,S0,52,1,32,1,249,25.9,46.2,OFF,0,normal
749445779,192.168.18.138,58770,16.170.215.67,80,1,2,1,649,260,52,S0,52,1,32,1,249,26.2,46.2,OFF,0,normal
749445810,192.168.18.138,58770,16.170.215.67,80,1,2,1,659,260,52,S0,52,1,32,1,249,26.6,45.9,OFF,0,normal
749445841,192.168.18.138,58770,16.170.215.67,80,1,2,1,639,260,52,S0,0,1,32,1,197,27,45.3,OFF,0,normal
749445871,192.168.18.138,58770,16.170.215.67,80,1,2,1,673,260,52,S0,0,1,32,1,197,27.5,44.8,OFF,0,normal
749445902,192.168.18.138,58770,16.170.215.67,80,1,2,1,761,260,52,S0,52,1,32,1,249,27.8,44.3,OFF,0,normal
749445933,192.168.18.138,58770,16.170.215.67,80,1,2,1,649,260,52,S0,0,1,32,1,197,28.2,43.8,OFF,0,normal
749445963,192.168.18.138,58770,16.170.215.67,80,1,2,1,714,260,52,S0,0,1,32,1,197,28.4,43.6,OFF,0,normal
749445994,192.168.18.138,58770,16.170.215.67,80,1,2,1,700,260,52,S0,0,1,32,1,197,28.6,43.5,OFF,0,normal
749446025,192.168.18.138,58770,16.170.215.67,80,1,2,1,705,260,51,S0,51,1,32,1,248,28.7,43.3,ON,0,normal
749446055,192.168.18.138,58770,16.170.215.67,80,1,2,1,612,260,51,S0,0,1,32,1,197,28.9,44.2,ON,0,normal
749446086,192.168.18.138,58770,16.170.215.67,80,1,2,1,752,260,51,S0,0,1,32,1,197,28.9,44.4,ON,0,normal
749446117,192.168.18.138,58770,16.170.215.67,80,1,2,1,653,260,51,S0,0,1,32,1,197,28.8,44.5,ON,0,normal
749446147,192.168.18.138,58770,16.170.215.67,80,1,2,1,603,260,51,S0,0,1,32,1,197,28.5,44.7,ON,0,normal
749446178,192.168.18.138,58770,16.170.215.67,80,1,2,1,624,260,51,S0,0,1,32,1,197,28.2,45,ON,0,normal
749446209,192.168.18.138,58770,16.170.215.67,80,1,2,1,689,260,51,S0,0,1,32,1,197,28,45,ON,0,normal
749446239,192.168.18.138,58770,16.170.215.67,80,1,2,1,607,260,51,S0,0,1,32,1,197,27.5,45.4,ON,0,normal
749446270,192.168.18.138,58770,16.170.215.67,80,1,2,1,615,260,51,S0,0,1,32,1,197,27.2,45.5,ON,0,normal
749446301,192.168.18.138,58770,16.170.215.67,80,1,2,1,695,260,51,S0,51,1,32,1,248,26.9,45.9,ON,0,normal
749446331,192.168.18.138,58770,16.170.215.67,80,1,2,1,708,260,51,S0,0,1,32,1,197,26.7,45.9,ON,0,normal
